Complexity,Fitness,Equation 0,Equation 1,Equation 2
3,3.9841962,y0,-2.28,0.0769
5,3.0534365,-1.31,e,0.219*e
5,3.0534365,-1.10,6.86,0.219*e
5,3.0534365,-0.00352,a0,0.219*e
5,3.0534365,a0,-0.224,0.219*e
7,2.9676378,-0.133,-2*u0 + y0,a1
9,1.4286067,-0.739,-u0 + y0,a1 + 1.14*e
9,1.4286067,-0.133,-u0 + y0,a1 + 1.14*e
9,1.4286067,-0.120,-u0 + y0,a1 + 1.14*e
9,1.4286067,1.09,-u0 + y0,a1 + 1.14*e
9,1.4286067,a1,-u0 + y0,a1 + 1.14*e
9,1.4286067,u0,-u0 + y0,a1 + 1.14*e
11,0.62022257,a0*u0,e - u0 + y0,a1 + e
13,0.5935859,-2.55,e - u0 + y0,a1 + 0.947*e - 1.08
13,0.5935859,0.805,e - u0 + y0,a1 + 0.947*e - 1.08
13,0.5935859,1.14,e - u0 + y0,a1 + 0.947*e - 1.08
13,0.5935859,a1,e - u0 + y0,a1 + 0.947*e - 1.08
15,0.3557892,a0,e - 2*u0 + 2*y0,a1 + 0.947*e
15,0.3557892,u0,e - 2*u0 + 2*y0,a1 + 0.947*e
15,0.3557892,e,e - 2*u0 + 2*y0,a1 + 0.947*e
17,0.24218395,-1.54,e - 2*u0 + 2*y0 - y1,a1
17,0.24218395,-1.31,e - 2*u0 + 2*y0 - y1,a1
17,0.24218395,-0.661,e - 2*u0 + 2*y0 - y1,a1
17,0.24218395,-0.413,e - 2*u0 + 2*y0 - y1,a1
17,0.24218395,-0.269,e - 2*u0 + 2*y0 - y1,a1
17,0.24218395,-0.134,e - 2*u0 + 2*y0 - y1,a1
17,0.24218395,1.22,e - 2*u0 + 2*y0 - y1,a1
17,0.24218395,2.01,e - 2*u0 + 2*y0 - y1,a1
17,0.24218395,a0,e - 2*u0 + 2*y0 - y1,a1
17,0.24218395,u0,e - 2*u0 + 2*y0 - y1,a1
17,0.24218395,e,e - 2*u0 + 2*y0 - y1,a1
